文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,阅读数,在看数,点赞数,留言数
2021-12-07,当你电脑蓝屏时的粗暴解决方案,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137108&idx=1&sn=04e39c893cc922f99c5619587b2d4fd9&chksm=bd50b4008a273d16c2633a8b64ade4f819fcf83f11001f1d8ff211da9a71e31d4463cb172beb&scene=27#wechat_redirect,最近不知道怎么回事，家里电脑经常性地出现蓝屏，很多时候有些文档没有保存便蓝屏导致文档丢失，其中也包括您现在正在看到的这一篇文章，以前一直比较懒，重启大法一顿怼，然后重新再做编辑，只不过PPT重做简直要人命，无奈之下，放下了所有的工作。,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZJOc8LZsHhtZ2QIrpAvH17d8TjNQhXXNeBvxPc9rIZezlJ5599cGNShOr2MCybaicaLs0w5dhYTc2A/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1555938-1-1.html,是,1,否,72316,156,675,82
2021-11-23,【Web逆向】【vscode插件】quokkapro激活码,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137100&idx=1&sn=5da533f71f1661b410a804df3ed5ee15&chksm=bd50b4188a273d0ea606e3bc9ea83decf4df53d970b13981cf30b48cc07d9a4be64384e407a9&scene=27#wechat_redirect,quokkapro虽然右下角每次都会弹窗（有时候是试用，有时候是升级pro，有时候是过期），但是能用就好不是。。。当然，改js也不是不行。。。但是每次更新都要改就挺烦的，能“正规注册”为什么要改代码（笑~）,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZKCicy9DtmSQicpAoibqQZJf2lbbBV7x73jlOGvibV0tlEnteA563DsvVaick2hqtGEicpOmF3qv2Ws6Xhg/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1549263-1-1.html,是,1,否,21615,24,121,14
2021-11-22,【原创】混合布尔算术运算的混淆及反混淆,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137075&idx=1&sn=04c02897e4313796856c27503235623b&chksm=bd50b4678a273d719354059717c1e87e0d611c87f8c615af6376ec6d9cde5f7878bddd0bdaaf&scene=27#wechat_redirect,最近看了几篇关于混合布尔算术MBA(MixedBitwise-Arithmetic)的论文，可以用于处理vmp万用门的混淆，所以写出来和大家分享一下。混合布尔算术运算结合了算术运算(加法、减法和乘法等)和布尔运算(与、或、非和异或)。,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZKCicy9DtmSQicpAoibqQZJf2l4muibj9FQ3bicBIkicadqBEeLzjJcmQLibRkiclVfDlI46c5Z9k0suQJ3Yw/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1548533-1-1.html,是,1,否,15950,58,448,25
2021-11-18,【PC样本分析】挖矿病毒分析之powershell解密小技巧,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137056&idx=1&sn=a2512a648308aee3abe70db1620763ad&chksm=bd50b4748a273d6243fb02e141aedd5125e9ecee90ca6afa36cb35a9d6c1e3f7164917aae439&scene=27#wechat_redirect,近几年挖矿病毒比较多，比较早的PowerGhost、驱动人生挖矿、近期还在继续活跃的MyKing，柠檬鸭等病毒关键部分就是powershell脚本，前几天看到有人求助分析一个柠檬鸭的样本，也算是对自己分析解密powershell脚本的总结吧,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZLAuRsIFLetRgSjFqPDP7xCnKf72fIvH2X8D64YRmtyYViaqA4xpNkzqEf3McHz3B7f5emUUvmhHJA/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1543561-1-1.html,是,1,否,10054,11,56,10
2021-11-17,【原创】红色警戒2-尤里复仇之游戏内部集成辅助002,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137047&idx=1&sn=500a222521102930c6622821b65bff64&chksm=bd50b4438a273d55d52ad289f0f9f7e8a95de6f3d6653c7b12f901818db6ca48b5ac1acba18d&scene=27#wechat_redirect,鉴于上一个帖子有点火，于是我加班加点把2号界面也设计完成了，并且调整了1号界面。代码也全部完成，虽然不完美，也许有bug，但是能用。,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZLw7SGNRSfuLMjRcxgxAxr4bQblIaILpqPxOYsQtrTliaia4Fw1MutU5IG0zwmGBiaHibXug9djuzD6fQ/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1540572-1-1.html,是,1,否,43531,51,238,68
2021-11-16,【原创】红色警戒2-尤里复仇之游戏内部集成辅助001,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137030&idx=1&sn=8cd478b49d98de507c054446fbc75232&chksm=bd50b4528a273d447ff838787bdcfb4a39b23714b986e8147da899e162f8151cd778e9994ea5&scene=27#wechat_redirect,打算做一个系列，在游戏内部集成辅助，这是一个大课题，一个帖子是讲不完的，本篇算开题。本帖内容：在游戏内部集成辅助的界面设计。,吾爱pojie,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZLw7SGNRSfuLMjRcxgxAxr4wLRdoLyPibWYxogNj6JFREmLmS6ibbS6kFIy6e0bBuiatIcUcic4Fqoc1A/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1538527-1-1.html,是,1,否,31745,45,215,35
2021-11-11,【开放注册公告】吾爱破解论坛2021年11月11日光棍节开放注册公告即将开始12：00--14：00和20：00--22：00，赶不上的定个晚间闹钟吧，新信息会在微博继续发布，推荐使用电脑注册，可以使用论坛的诊断修复工具修复一次，方便提前解决注册中可能会遇到的问题，如果修复后还是不行建议尽快更换设备尝试，注册页面会强制10分钟来阅读注册须知，须知中包括了你注册现在和未来可能会遇到的问题，请仔细阅读，否则可能无法注册成功或注册后被清理，开放注册期间暂停签到任务、QQ登录绑定、下载论坛附件功能、默认搜索功能、首页五格功能、论坛帖子排序、技术新贴等功能请各位知晓，在论坛等待大家光临。,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137008&idx=1&sn=b77e901624b27c864131ef5adbed457e&chksm=bd50b3a48a273ab2ac203d21e1bd7b661bacc31d9a54ea689488bd878f83e7011ee2bdade751&scene=27#wechat_redirect,,,,,否,1,否,19780,49,219,0
2021-11-09,光棍节开放注册微信抽奖活动，再送40个账号注册码或300论坛币，今天下午两点开奖，详见：【开放注册公告】吾爱破解论坛2021年11月11日光棍节开放注册公告,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137006&idx=1&sn=fd3806112b515b5de98ad0661aedf110&chksm=bd50b3ba8a273aacb6e73d7b2609a08a5afbf849ff6b0fbed0a297e82752b5f1169fbf23edee&scene=27#wechat_redirect,,,,,否,1,否,13547,24,92,0
2021-11-07,【开放注册公告】吾爱破解论坛2021年11月11日光棍节开放注册公告,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137004&idx=1&sn=0f982833f4e0a7fe2ad4e00250b186ec&chksm=bd50b3b88a273aae655638cf7042eea47e6bbb0843644dc45dd1a6ebf8c0522d47399cb3fb6d&scene=27#wechat_redirect,内有福利，再送40个账号注册码或300论坛币，吾爱破解论坛开放注册时间如下2021年11月11日12：00--14：00和20：00--22：00，赶紧上好闹钟顺便告诉小伙伴吧。,,http://mmbiz.qpic.cn/sz_mmbiz_jpg/LFPriaSjBUZJSo2s9ldWeicXy4AiavbgQvd9uPejl8KGWgpKibsiaz5l4HDTPDeEL8QYE1RdSwRuibg7xqsMxwuLxSNw/0?wx_fmt=jpeg,https://www.52pojie.cn/thread-1537248-1-1.html,否,1,否,75368,71,214,83
2021-11-05,光棍节开放注册微信抽奖活动，先送20个账号注册码或300论坛币，今天下午两点开奖，详见：【开放注册公告】吾爱破解论坛2021年11月11日光棍节开放注册公告,http://mp.weixin.qq.com/s?__biz=MjM5Mjc3MDM2Mw==&mid=2651137001&idx=1&sn=6e8fa4817f481a655a942424197893f3&chksm=bd50b3bd8a273aab948c3f755dededbf32ec0fa8cbef969a23bbab719f70c1bc26de93207292&scene=27#wechat_redirect,,,,,否,1,否,14398,24,105,0
